year,air_temperature_de_mean_c,air_temperature_observations
1980,7.2325,8784
1981,7.8163,8760
1982,8.6551,8760
1983,8.6674,8760
1984,7.7515,8784
1985,7.0923,8760
1986,7.6855,8760
1987,7.0643,8760
1988,8.7719,8784
1989,9.2792,8760
1990,9.2037,8760
1991,8.2074,8760
1992,9.0172,8784
1993,8.2342,8760
1994,9.4394,8760
1995,8.6086,8760
1996,6.8915,8784
1997,8.5937,8760
1998,8.8011,8760
1999,9.2295,8760
2000,9.5695,8784
2001,8.7525,8760
2002,9.1733,8760
2003,9.0886,8760
2004,8.7096,8784
2005,8.9255,8760
2006,9.3939,8760
2007,9.6703,8760
2008,9.1974,8784
2009,9.0096,8760
2010,7.4063,8760
2011,9.4313,8760
2012,8.8789,8784
2013,8.4482,8760
2014,10.2779,8760
2015,9.7813,8760
2016,9.347,8784
2017,9.3908,8760
2018,10.4745,8760
2019,10.2614,8760
